filename,module_name,module_params,execution_time,passage_filter_retrieval_f1,passage_filter_retrieval_recall,passage_filter_retrieval_precision,is_best
0.parquet,PassPassageFilter,{},0.00011681556701660156,0.5154761904761904,1.0,0.3600000000000001,False
1.parquet,SimilarityThresholdCutoff,"{'threshold': 0.5, 'embedding_model': 'huggingface_all_mpnet_base_v2', 'batch': 64}",0.12050948619842529,0.8551428571428571,0.93,0.8175,False
2.parquet,SimilarityPercentileCutoff,"{'percentile': 0.5, 'embedding_model': 'huggingface_all_mpnet_base_v2', 'batch': 64}",0.12118275165557861,0.0,0.0,0.0,False
3.parquet,ThresholdCutoff,{'threshold': 0.5},9.819507598876953e-05,0.96,0.96,0.96,True
4.parquet,RecencyFilter,"{'threshold_datetime': datetime.date(2015, 1, 1)}",0.004896218776702881,0.5154761904761904,1.0,0.3600000000000001,False
