filename,module_name,module_params,execution_time,retrieval_f1,retrieval_recall,retrieval_precision,is_best
0.parquet,VectorDB,"{'top_k': 5, 'embedding_batch': 256, 'vectordb': 'default_vectordb'}",0.02924769163131714,0.4553571428571429,0.95,0.312,False
1.parquet,BM25,"{'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'}",0.005222427845001221,0.5121428571428571,0.99,0.3580000000000001,False
2.parquet,HybridRRF,"{'top_k': 5, 'target_modules': ('VectorDB', 'BM25'), 'rrf_k': 10, 'weight': 4.0, 'target_module_params': ({'top_k': 5, 'embedding_batch': 256, 'vectordb': 'default_vectordb'}, {'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'})}",0.03447011947631836,0.5154761904761904,1.0,0.3600000000000001,True
3.parquet,HybridRRF,"{'top_k': 5, 'target_modules': ('VectorDB', 'BM25'), 'rrf_k': 3, 'weight': 4.0, 'target_module_params': ({'top_k': 5, 'embedding_batch': 256, 'vectordb': 'default_vectordb'}, {'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'})}",0.03447011947631836,0.5136904761904763,1.0,0.3580000000000001,False
4.parquet,HybridRRF,"{'top_k': 5, 'target_modules': ('VectorDB', 'BM25'), 'rrf_k': 5, 'weight': 4.0, 'target_module_params': ({'top_k': 5, 'embedding_batch': 256, 'vectordb': 'default_vectordb'}, {'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'})}",0.03447011947631836,0.5154761904761904,1.0,0.3600000000000001,False
5.parquet,HybridCC,"{'top_k': 5, 'target_modules': ('VectorDB', 'BM25'), 'weights': (0.5, 0.5), 'normalize_method': 'tmm', 'weight': 0.65, 'target_module_params': ({'top_k': 5, 'embedding_batch': 256, 'vectordb': 'default_vectordb'}, {'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'})}",0.03447011947631836,0.513095238095238,1.0,0.3580000000000001,False
