filename,module_name,module_params,execution_time,retrieval_f1,retrieval_recall,retrieval_precision,is_best
0.parquet,VectorDB,"{'top_k': 5, 'embedding_batch': 256, 'vectordb': 'default_vectordb'}",0.030445430278778076,0.43071428571428577,0.91,0.294,False
1.parquet,BM25,"{'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'}",0.017625086307525635,0.49130952380952386,0.99,0.34000000000000014,False
2.parquet,HybridRRF,"{'top_k': 5, 'target_modules': ('VectorDB', 'BM25'), 'rrf_k': 10, 'weight': 4.0, 'target_module_params': ({'top_k': 5, 'embedding_batch': 256, 'vectordb': 'default_vectordb'}, {'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'})}",0.04807051658630371,0.4922619047619048,1.0,0.3400000000000001,False
3.parquet,HybridRRF,"{'top_k': 5, 'target_modules': ('VectorDB', 'BM25'), 'rrf_k': 3, 'weight': 4.0, 'target_module_params': ({'top_k': 5, 'embedding_batch': 256, 'vectordb': 'default_vectordb'}, {'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'})}",0.04807051658630371,0.4946428571428572,1.0,0.3420000000000001,True
4.parquet,HybridRRF,"{'top_k': 5, 'target_modules': ('VectorDB', 'BM25'), 'rrf_k': 5, 'weight': 4.0, 'target_module_params': ({'top_k': 5, 'embedding_batch': 256, 'vectordb': 'default_vectordb'}, {'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'})}",0.04807051658630371,0.4922619047619048,1.0,0.3400000000000001,False
5.parquet,HybridCC,"{'top_k': 5, 'target_modules': ('VectorDB', 'BM25'), 'weights': (0.5, 0.5), 'normalize_method': 'tmm', 'weight': 0.41000000000000003, 'target_module_params': ({'top_k': 5, 'embedding_batch': 256, 'vectordb': 'default_vectordb'}, {'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'})}",0.04807051658630371,0.4936904761904762,0.99,0.3420000000000001,False
