filename,module_name,module_params,execution_time,retrieval_f1,retrieval_recall,retrieval_precision,is_best
0.parquet,VectorDB,"{'top_k': 5, 'embedding_batch': 256, 'vectordb': 'default_vectordb'}",0.030551745891571044,0.4397619047619048,0.93,0.3,False
1.parquet,BM25,"{'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'}",0.016093449592590334,0.49130952380952386,0.99,0.34000000000000014,False
2.parquet,HybridRRF,"{'top_k': 5, 'target_modules': ('VectorDB', 'BM25'), 'rrf_k': 10, 'weight': 4.0, 'target_module_params': ({'top_k': 5, 'embedding_batch': 256, 'vectordb': 'default_vectordb'}, {'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'})}",0.04664519548416138,0.49702380952380953,1.0,0.3440000000000001,True
3.parquet,HybridRRF,"{'top_k': 5, 'target_modules': ('VectorDB', 'BM25'), 'rrf_k': 3, 'weight': 4.0, 'target_module_params': ({'top_k': 5, 'embedding_batch': 256, 'vectordb': 'default_vectordb'}, {'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'})}",0.04664519548416138,0.49702380952380953,1.0,0.3440000000000001,False
4.parquet,HybridRRF,"{'top_k': 5, 'target_modules': ('VectorDB', 'BM25'), 'rrf_k': 5, 'weight': 4.0, 'target_module_params': ({'top_k': 5, 'embedding_batch': 256, 'vectordb': 'default_vectordb'}, {'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'})}",0.04664519548416138,0.49702380952380953,1.0,0.3440000000000001,False
5.parquet,HybridCC,"{'top_k': 5, 'target_modules': ('VectorDB', 'BM25'), 'weights': (0.5, 0.5), 'normalize_method': 'tmm', 'weight': 0.68, 'target_module_params': ({'top_k': 5, 'embedding_batch': 256, 'vectordb': 'default_vectordb'}, {'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'})}",0.04664519548416138,0.4904761904761905,1.0,0.33800000000000013,False
